,BLCA,BRCA,COAD,ESCA,HNSC,KIRC,KIRP,LIHC,LUAD,LUSC,PRAD,READ,STAD,THCA,UCEC
Autophagy,0.4362450492076339,0.46359368664246237,0.4425745468296534,0.4375852987577162,0.36568859047174845,0.3987459120159448,0.3975830634798771,0.7298668519311104,0.44425478749228614,0.5948825174828948,0.23770860888379133,0.5024871447705365,0.39188659357029915,0.24408367705786538,0.49539564960678695
Cell Cycle,0.9469317266604755,0.8204718216009107,0.67019812010177,1.0554231160327314,0.7386372541889399,0.5350946614656074,0.4863445205910001,1.0638458577817,0.8265471947530559,1.1780902520317955,0.3808477723268164,0.5876044485250899,0.8226600679690149,0.3018481753483289,1.0800552720576273
Cell-Cell communication,0.7416622407210377,0.8698271141281188,0.750365704261438,0.8582692191241097,0.7327496980284328,0.9381655116562515,0.9758322566245844,0.5516194454096636,0.8329343183760941,1.2498905410521575,0.4874543735867531,0.8419873140828693,0.746454026444655,0.6453577756839616,0.9399199866619631
Cellular responses to external stimuli,0.6807969704109662,0.6260410625841771,0.6223418261996096,0.7475864395764223,0.5539323571855482,0.5201815972696681,0.5107301105306696,0.8010762736701108,0.6112488067213959,0.828037935472198,0.34529354171114873,0.6284433421045891,0.5690522264096127,0.33846655480809307,0.7966331549783436
Chromatin organization,0.7857356568512492,0.7119268087685512,0.5005419162411888,0.8050681290829735,0.5818096639226567,0.4410142161263744,0.3767926913703416,0.7835093862659495,0.661152263451544,0.8492650111930291,0.4258486028825304,0.4619692858042265,0.5319996159720489,0.2616366290015267,0.8755489186442028
Circadian Clock,0.5682127254032583,0.5025966916088715,0.5662135952967541,0.5331474355633149,0.4913845481536992,0.552047579915742,0.5637478636379514,0.5890491934154672,0.43686290225648605,0.5996707374216244,0.3435002771841203,0.6365811962754487,0.4578765597124449,0.513580298477871,0.699143519451996
Developmental Biology,0.6526441557969528,0.6474552464210206,0.607101891147808,0.6743289763888595,0.5685598214337915,0.5895442182775785,0.5539577294715402,0.5975228152665508,0.5910839684268298,0.8799881225289452,0.4047618021186294,0.6742116716896805,0.542063776091655,0.4298964999132216,0.7828398010151256
Digestion and absorption,0.27646208129389754,0.3376597605161552,1.2943858635575316,1.1578578493271325,0.33999247061989574,0.6964288524106345,0.7279375568711832,0.6030127040466045,0.5303309083043298,0.7781538627914489,0.30930177460725833,1.3251659175568842,0.8718045819963114,0.13549214426697354,0.3621718992652261
Disease,0.574160395864301,0.5565262417728222,0.6041577479524801,0.6430297076919943,0.520608526396698,0.6722253835509593,0.6597375139166971,0.7033684182482527,0.5927087749351871,0.7982078483461696,0.3590498984512834,0.6534844084684498,0.5379321807239648,0.38275760685309607,0.697221826060276
DNA Repair,0.8084740173638324,0.6947219254467397,0.5446421729489948,0.9018711705748533,0.6372000927864369,0.42164267108788955,0.3850189562185668,0.8620428941904918,0.6842657504007704,0.9244625158055528,0.35509838885651634,0.4707796656085069,0.6504689955707763,0.2565230312932069,0.8521537246371355
DNA Replication,0.9621008639451527,0.7340003310841602,0.7441405899035445,1.2273776063295982,0.8609990985570031,0.5065837454443746,0.5219453337370453,1.1965708701155577,0.8640339529316665,1.3533503870386456,0.265498197043532,0.6503220801779792,0.9179438215918876,0.276523567632159,1.013838649793383
Extracellular matrix organization,1.0609750113837513,1.0642654312342292,0.96434806197858,1.0851380410508926,1.2198477445506677,1.0250197228139495,0.9811431755071982,0.7319264165549785,0.9794775550695006,1.3341820952910903,0.5577654890307218,1.0262390863594733,0.9504092599694816,0.8205236550797916,1.2176176934440492
Gene expression (Transcription),0.6098525078815966,0.5337742913887913,0.5420091774607609,0.6643529986688872,0.5121315116831456,0.4484547016188979,0.4497911257623966,0.7260533275559468,0.5383338175100407,0.7496558884896865,0.3147510214889207,0.5458030322968488,0.5644901486648797,0.3442481834428187,0.7099635829293197
Hemostasis,0.7086869538059295,0.7554311620763701,0.9306402500515076,0.707458442582213,0.6620266318607052,0.8632616651991005,0.8104403323014532,0.7447555480826578,0.8788890884029775,1.0678065889948694,0.43247731265125255,0.9915345757501419,0.638349957950518,0.4805637182170937,0.9251899248089844
Immune System,0.5924632909683998,0.603027035058445,0.7342981848322819,0.6938676964715017,0.6282768062057071,0.7853301630817995,0.6452206604510574,0.6651359432082736,0.7009226699657476,0.9046382677830075,0.34905678833089526,0.7665555535170221,0.5831188467078456,0.43403537993223157,0.7164716881538242
Metabolism,0.5898756036059524,0.6253559466851492,0.692781974431439,0.5957936479808256,0.5472059551717968,0.7301972313079957,0.7324547292746251,0.7336676446558033,0.6050465618921752,0.820427922022953,0.4047351129907179,0.7251639892556212,0.5239237056894334,0.41828018374270987,0.72717080051477
Metabolism of proteins,0.5813366300024226,0.5370512319969877,0.5785781086763052,0.627784431532629,0.5063401004560896,0.5473917287462854,0.5396956483490875,0.7134609254185946,0.5940836888026941,0.7703285150415508,0.35442123527682867,0.605117138347971,0.5327819821648245,0.3425297451024836,0.6694653006765022
Metabolism of RNA,0.45767079111125764,0.3652235053127196,0.56483096432551,0.647400385278011,0.4382378038290785,0.33899555302722334,0.33015819290735776,0.7860984091841824,0.4472977416818353,0.6609501108401257,0.27411719832255893,0.5266077066969658,0.5555140367871834,0.2025869215554763,0.4301012503563068
Mitophagy,0.5052924456706093,0.4252453050675852,0.4854495692329117,0.5223986467385824,0.40986476305449693,0.3894835470866875,0.4204563805692486,0.6869853269250504,0.4296921999671707,0.7042256631014743,0.2662299903642729,0.5072259336002843,0.47610628471989785,0.21773711205783214,0.45695799349757277
Muscle contraction,1.0352996428160357,0.8713703445875945,0.8037814726554892,0.6535146628471348,0.8278127572741715,0.7737675199720523,0.8950950319981094,0.5086360790118589,0.752757617364886,1.0190642344068475,0.6146147546421254,1.0337848947086146,0.6847141257859429,0.5195449526724119,1.1894324502684743
Neuronal System,0.6334827866175652,0.6013319387666096,0.6548816742113718,0.6025208202356797,0.48184140709231105,0.7247415504940392,0.7260831109508687,0.5320440461324668,0.6163746187073008,0.835248490427707,0.4384401399667019,0.7755705869075963,0.5532187352602208,0.5054961848206417,0.8407927887759109
Organelle biogenesis and maintenance,0.4720860166602085,0.41428926045715725,0.5142497428386377,0.5446565570565087,0.4423969753549274,0.464816924780714,0.40920735525316254,0.7429569247795631,0.4677183506513251,0.6304775499452796,0.2588884025106465,0.5065263324764753,0.4854355695934055,0.30922799787192834,0.5868605888487162
Programmed Cell Death,0.60587720912034,0.567869529709692,0.5537335944333739,0.775263480702369,0.5449380704190342,0.5620375395341479,0.47778574248775696,0.7015270466552491,0.5326790179829103,0.8877639605230154,0.2783428889226652,0.5572651631627902,0.5267470056191708,0.32678009090138077,0.6808031680255463
Protein localization,0.4489870117484551,0.4195905735594371,0.5683727583449336,0.49873736924890766,0.40403750891544,0.5704672044278655,0.5661376114357682,0.6774875000643052,0.44823940511840693,0.6133317353475242,0.33685796358763226,0.5462860420051281,0.4361826639148384,0.25363221558731947,0.5532863412399243
Reproduction,0.8381960362772778,0.7492069240694514,0.5084207970844467,0.8570133717102292,0.6071948121767059,0.4752502341735004,0.3942536750287342,0.693597394098357,0.7205548677096143,0.8793452340382274,0.4408869599038485,0.4337345003066973,0.5862174482590948,0.26727049021946436,0.9649026342826714
Signal Transduction,0.6513025761967095,0.6391482106674057,0.60269995331203,0.6416370396792378,0.5282988657041129,0.6417025445669945,0.6205452045594464,0.5979234050115105,0.6068170491931526,0.8274500026143616,0.37182658612605757,0.6559004175091919,0.5551100872090406,0.4130445691170816,0.7871711934249037
Transport of small molecules,0.6171604658010774,0.6694070668658287,0.8109451159922998,0.6725673555011525,0.6330925301951753,0.992294984460105,0.9962477594298041,0.6573147419166118,0.6466176180680356,0.8869727168598729,0.4274112240478757,0.8425761985234269,0.6180385986543211,0.4533904726742327,0.8095158721763013
Vesicle-mediated transport,0.5394320349321842,0.6015324081104977,0.7171604080470533,0.5838339734288397,0.5201831711440703,0.6418599050415462,0.5577565149307162,0.7816040380940268,0.7030936921427968,0.8066828778774471,0.34459334345551246,0.7725521658596729,0.5544184178577978,0.42367676843128466,0.6882836499572663
